<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,,PRICE,TOTAL,TOTALIF,IF,
01.09.2020,10:00:00,111481,114968,107915,114968,21,,112333,2358993,3234111591,1,1
01.09.2020,10:01:00,110706,115277,107992,113954,17,,"111982,25","1903698,25",,1,1
01.09.2020,10:02:00,112403,115295,108347,109138,13,,"111295,75","1446844,75",,0,0
01.09.2020,10:03:00,107992,115068,107931,108849,27,,109960,2968920,,1,1
01.09.2020,10:04:00,110189,115160,107945,110987,11,,"111070,25","1221772,75",,1,1
01.09.2020,10:05:00,111710,115253,108233,113978,72,,"112293,5",8085132,,1,1
01.09.2020,10:06:00,113048,115288,107992,108609,23,,"111234,25","2558387,75",,0,0
01.09.2020,10:07:00,114579,115020,108076,111390,61,,"112266,25","6848241,25",,0,0
01.09.2020,10:08:00,114505,114992,107932,114983,98,,113103,11084094,,1,1
01.09.2020,10:09:00,111314,115243,107901,113839,54,,"112074,25","6052009,5",,1,1
01.09.2020,10:10:00,109497,115244,108054,110736,52,,"110882,75",5765903,,1,1
01.09.2020,10:11:00,112451,115230,108160,112789,91,,"112157,5","10206332,5",,1,1
01.09.2020,10:12:00,115221,115260,108023,114345,32,,"113212,25",3622792,,0,0
01.09.2020,10:13:00,109875,115213,108071,114244,20,,"111850,75",2237015,,1,1
01.09.2020,10:14:00,113180,115060,107946,113348,90,,"112383,5",10114515,,1,1
01.09.2020,10:15:00,111134,115105,108047,111415,35,,"111425,25","3899883,75",,1,1
01.09.2020,10:16:00,108207,115036,107908,111499,95,,"110662,5","10512937,5",,1,1
01.09.2020,10:17:00,110977,115209,107966,108396,31,,110637,3429747,,0,0
01.09.2020,10:18:00,114004,115260,108003,109654,57,,"111730,25","6368624,25",,0,0
01.09.2020,10:19:00,110495,115179,107910,114627,83,,"112052,75","9300378,25",,1,1
01.09.2020,10:20:00,108244,115266,108145,113456,91,,"111277,75","10126275,25",,1,1
01.09.2020,10:21:00,110980,115299,107918,114968,85,,"112291,25","9544756,25",,1,1
01.09.2020,10:22:00,112950,115268,108001,109805,21,,111506,2341626,,0,0
01.09.2020,10:23:00,111646,115134,107920,109651,24,,"111087,75",2666106,,0,0
01.09.2020,10:24:00,114144,115259,108132,114629,93,,113041,10512813,,1,1
01.09.2020,10:25:00,112540,115233,108005,109257,14,,"111258,75","1557622,5",,0,0
01.09.2020,10:26:00,110387,115209,107970,108582,94,,110537,10390478,,0,0
01.09.2020,10:27:00,111675,115238,108246,113069,53,,112057,5939021,,1,1
01.09.2020,10:28:00,108740,114943,108011,108175,24,,"109967,25",2639214,,0,0
01.09.2020,10:30:00,110621,115239,108132,115133,39,,"112281,25","4378968,75",,1,1
01.09.2020,10:31:00,111998,115296,108003,111371,43,,111667,4801681,,0,0
01.09.2020,10:32:00,111231,115274,108192,110524,40,,"111305,25",4452210,,0,0
01.09.2020,10:33:00,108609,115068,107939,113138,67,,"111188,5","7449629,5",,1,1
01.09.2020,10:34:00,114059,115296,108058,110727,79,,112035,8850765,,0,0
01.09.2020,10:35:00,110085,115278,107907,108833,45,,"110525,75","4973658,75",,0,0
01.09.2020,10:36:00,111243,115293,108068,114174,84,,"112194,5",9424338,,1,1
01.09.2020,10:37:00,111773,115110,107969,111524,97,,111594,10824618,,0,0
01.09.2020,10:38:00,108978,115263,107916,110630,26,,"110696,75","2878115,5",,1,1
01.09.2020,10:39:00,113044,114630,107903,114630,26,,"112551,75","2926345,5",,1,1
01.09.2020,10:40:00,108236,115230,108228,109433,86,,"110281,75","9484230,5",,1,1
01.09.2020,10:41:00,114136,115083,108034,110360,81,,"111903,25","9064163,25",,0,0
01.09.2020,10:42:00,111861,115194,108008,113054,66,,"112029,25","7393930,5",,1,1
01.09.2020,10:43:00,109904,115258,108428,111643,57,,"111308,25","6344570,25",,1,1
01.09.2020,10:44:00,112767,114839,107990,112547,4,,"112035,75",448143,,0,0
01.09.2020,10:45:00,113526,115262,107926,113086,33,,112450,3710850,,0,0
01.09.2020,10:46:00,114985,115224,108524,110321,35,,"112263,5","3929222,5",,0,0
01.09.2020,10:47:00,112991,115104,107958,114858,60,,"112727,75",6763665,,1,1
01.09.2020,10:48:00,109607,115255,107915,110977,77,,"110938,5","8542264,5",,1,1
01.09.2020,10:49:00,112258,115176,108074,109956,40,,111366,4454640,,0,0
01.09.2020,10:50:00,108161,115279,107951,111261,26,,110663,2877238,,1,1
01.09.2020,10:51:00,111732,115111,107966,110962,40,,"111442,75",4457710,,0,0
01.09.2020,10:52:00,108151,114577,107947,108881,31,,109889,3406559,,1,1
01.09.2020,10:53:00,112967,114877,107992,109756,82,,111398,9134636,,0,0
01.09.2020,10:54:00,109744,115266,108303,115035,22,,112087,2465914,,1,1
01.09.2020,10:55:00,112096,115192,108008,113140,27,,112109,3026943,,1,1
01.09.2020,10:56:00,108439,114867,107953,113009,27,,111067,2998809,,1,1
01.09.2020,10:57:00,109751,115213,107962,114236,85,,"111790,5","9502192,5",,1,1
01.09.2020,10:58:00,109005,115192,108025,111059,10,,"110820,25","1108202,5",,1,1
01.09.2020,10:59:00,113742,115243,107906,108920,69,,"111452,75","7690239,75",,0,0
01.09.2020,11:00:00,108521,115221,107942,109067,1,,"110187,75","110187,75",,1,1
01.09.2020,11:01:00,110665,115217,107919,109850,78,,"110912,75","8651194,5",,0,0
01.09.2020,11:02:00,112571,115280,108239,111581,43,,"111917,75","4812463,25",,0,0
01.09.2020,11:03:00,114946,115132,107930,114758,96,,"113191,5",10866384,,0,0
01.09.2020,11:04:00,111899,115194,108420,113656,67,,"112292,25","7523580,75",,1,1
01.09.2020,11:05:00,111282,115249,107904,109165,13,,110900,1441700,,0,0
01.09.2020,11:06:00,110282,115272,108040,111513,82,,"111276,75","9124693,5",,1,1
01.09.2020,11:07:00,109204,115010,107979,112468,85,,"111165,25","9449046,25",,1,1
01.09.2020,11:08:00,114911,115153,107931,108010,11,,"111501,25","1226513,75",,0,0
01.09.2020,11:09:00,111046,115120,107970,113846,36,,"111995,5",4031838,,1,1
01.09.2020,11:10:00,108154,115286,108154,109308,86,,"110225,5",9479393,,1,1
01.09.2020,11:11:00,110636,115270,107920,108589,2,,"110603,75","221207,5",,0,0
01.09.2020,11:12:00,113817,115217,108006,114928,84,,112992,9491328,,1,1
01.09.2020,11:13:00,110689,115105,107909,112446,57,,"111537,25","6357623,25",,1,1
01.09.2020,11:14:00,114927,115224,107961,114275,69,,"113096,75","7803675,75",,0,0
01.09.2020,11:15:00,113760,115264,107966,114088,55,,"112769,5","6202322,5",,1,1
01.09.2020,11:16:00,112199,115248,108098,112042,8,,"111896,75",895174,,0,0
01.09.2020,11:17:00,111076,114822,107983,111442,83,,"111330,75","9240452,25",,1,1
01.09.2020,11:18:00,111765,115227,107937,111748,64,,"111669,25",7146832,,0,0
01.09.2020,11:19:00,108701,115047,108034,112850,83,,111158,9226114,,1,1
01.09.2020,11:20:00,113448,115126,108031,110756,55,,"111840,25","6151213,75",,0,0
01.09.2020,11:21:00,112557,115224,108021,109069,73,,"111217,75","8118895,75",,0,0
01.09.2020,11:22:00,111569,114938,108029,108761,62,,"110824,25","6871103,5",,0,0
01.09.2020,11:23:00,114644,115188,108071,108548,15,,"111612,75","1674191,25",,0,0
01.09.2020,11:24:00,111735,115163,108035,109836,16,,"111192,25",1779076,,0,0
01.09.2020,11:25:00,110709,115186,107986,109698,39,,"110894,75","4324895,25",,0,0
01.09.2020,11:26:00,110095,115297,107961,115121,25,,"112118,5","2802962,5",,1,1
01.09.2020,11:27:00,113493,114985,107935,108498,78,,"111227,75","8675764,5",,0,0
01.09.2020,11:28:00,115036,115264,107975,111653,32,,112482,3599424,,0,0
01.09.2020,11:29:00,108440,115268,107973,109248,73,,"110232,25","8046954,25",,1,1
01.09.2020,11:30:00,110970,115216,108175,109527,97,,110972,10764284,,0,0
01.09.2020,11:31:00,109923,115270,107972,111884,10,,"111262,25","1112622,5",,1,1
01.09.2020,11:32:00,112658,115267,108223,113040,86,,112297,9657542,,1,1
01.09.2020,11:33:00,108155,115094,107940,111122,52,,"110577,75",5750043,,1,1
01.09.2020,11:34:00,114935,115222,108015,115222,76,,"113348,5",8614486,,1,1
01.09.2020,11:35:00,110016,115211,108236,108565,83,,110507,9172081,,0,0
01.09.2020,11:36:00,110516,115254,107998,114841,84,,"112152,25",9420789,,1,1
01.09.2020,11:37:00,113857,115210,108086,111957,13,,"112277,5","1459607,5",,0,0
01.09.2020,11:38:00,108319,115276,108024,112688,38,,"111076,75","4220916,5",,1,1
01.09.2020,11:39:00,109903,115192,108022,108276,41,,"110348,25","4524278,25",,0,0
01.09.2020,11:40:00,109006,115126,107901,109846,84,,"110469,75",9279459,,1,1
01.09.2020,11:41:00,111645,115134,108037,113680,62,,112124,6951688,,1,1
01.09.2020,11:42:00,112561,114881,108010,109475,18,,"111231,75","2002171,5",,0,0
01.09.2020,11:43:00,114738,115279,108032,108560,38,,"111652,25","4242785,5",,0,0
01.09.2020,11:44:00,112761,115075,108130,111936,56,,"111975,5",6270628,,0,0
01.09.2020,11:45:00,111032,115258,108010,113315,97,,"111903,75","10854663,75",,1,1
01.09.2020,11:46:00,111296,115262,108037,112189,46,,111696,5138016,,1,1
01.09.2020,11:47:00,113349,115062,107972,113071,73,,"112363,5","8202535,5",,0,0
01.09.2020,11:48:00,111418,115123,107939,108599,34,,"110769,75","3766171,5",,0,0
01.09.2020,11:49:00,109006,115260,107978,109759,40,,"110500,75",4420030,,1,1
01.09.2020,11:50:00,115181,115194,107904,110242,28,,"112130,25",3139647,,0,0
01.09.2020,11:51:00,109557,114559,108257,108961,67,,"110333,5","7392344,5",,0,0
01.09.2020,11:52:00,109396,115284,108053,111457,49,,"111047,5","5441327,5",,1,1
01.09.2020,11:53:00,114683,115208,108008,110793,58,,112173,6506034,,0,0
01.09.2020,11:54:00,111339,114691,108152,108230,60,,110603,6636180,,0,0
01.09.2020,11:55:00,109281,115169,107935,112627,18,,111253,2002554,,1,1
01.09.2020,11:56:00,110363,115291,107979,109331,48,,110741,5315568,,0,0
01.09.2020,11:57:00,109833,115235,107951,113814,81,,"111708,25","9048368,25",,1,1
01.09.2020,11:58:00,112955,115233,108131,110754,9,,"111768,25","1005914,25",,0,0
01.09.2020,11:59:00,114390,115079,107937,111899,16,,"112326,25",1797220,,0,0
01.09.2020,12:00:00,114256,115192,108129,111592,87,,"112292,25","9769425,75",,0,0
01.09.2020,12:01:00,113971,114987,107902,110013,48,,"111718,25",5362476,,0,0
01.09.2020,12:02:00,110712,115238,107998,108461,69,,"110602,25","7631555,25",,0,0
01.09.2020,12:03:00,114181,115220,107974,108760,91,,"111533,75","10149571,25",,0,0
01.09.2020,12:04:00,109009,115291,107920,108441,25,,"110165,25","2754131,25",,0,0
01.09.2020,12:05:00,110789,115267,107935,108882,82,,"110718,25","9078896,5",,0,0
01.09.2020,12:06:00,109124,115093,107975,113262,40,,"111363,5",4454540,,1,1
01.09.2020,12:07:00,109401,115080,108179,110259,85,,"110729,75","9412028,75",,1,1
01.09.2020,12:08:00,108438,115160,108063,109655,28,,110329,3089212,,1,1
01.09.2020,12:09:00,108272,114954,108139,114207,28,,111393,3119004,,1,1
01.09.2020,12:10:00,109573,115280,108234,109146,26,,"110558,25","2874514,5",,0,0
01.09.2020,12:11:00,112041,115221,107914,109230,41,,"111101,5","4555161,5",,0,0
01.09.2020,12:12:00,113309,115262,108110,115188,90,,"112967,25","10167052,5",,1,1
01.09.2020,12:13:00,112776,115190,107936,108426,2,,111082,222164,,0,0
01.09.2020,12:14:00,109971,115178,107933,114009,27,,"111772,75","3017864,25",,1,1
01.09.2020,12:15:00,109103,115235,108084,112880,18,,"111325,5",2003859,,1,1
01.09.2020,12:16:00,113977,115231,108039,108356,16,,"111400,75",1782412,,0,0
01.09.2020,12:17:00,114662,115188,108001,111075,18,,"112231,5",2020167,,0,0
01.09.2020,12:18:00,109246,114642,108016,111100,80,,110751,8860080,,1,1
01.09.2020,12:19:00,111165,115205,108038,108596,98,,110751,10853598,,0,0
01.09.2020,12:20:00,109752,114936,107995,110780,74,,"110865,75","8204065,5",,1,1
01.09.2020,12:21:00,114145,115156,107908,109192,16,,"111600,25",1785604,,0,0
01.09.2020,12:22:00,109438,115284,107975,109735,16,,110608,1769728,,1,1
01.09.2020,12:23:00,108394,115291,108291,112702,75,,"111169,5","8337712,5",,1,1
01.09.2020,12:24:00,112024,115197,108022,114864,59,,"112526,75","6639078,25",,1,1
01.09.2020,12:25:00,114376,115281,108229,114516,48,,"113100,5",5428824,,1,1
01.09.2020,12:26:00,114178,115188,107929,109365,93,,111665,10384845,,0,0
01.09.2020,12:27:00,113846,115236,107943,113894,41,,"112729,75","4621919,75",,1,1
01.09.2020,12:28:00,112121,115236,107938,115236,36,,"112632,75",4054779,,1,1
01.09.2020,12:29:00,110922,115298,108109,110442,49,,"111192,75","5448444,75",,0,0
01.09.2020,12:31:00,114305,115246,108255,109099,43,,"111726,25","4804228,75",,0,0
01.09.2020,12:32:00,110737,115199,107999,108747,97,,"110670,5","10735038,5",,0,0
01.09.2020,12:33:00,109276,115165,107917,111640,84,,"110999,5",9323958,,1,1
01.09.2020,12:34:00,115258,115282,107935,112991,34,,"112866,5",3837461,,0,0
01.09.2020,12:35:00,110847,115230,107969,113736,66,,"111945,5",7388403,,1,1
01.09.2020,12:36:00,111532,115109,107957,112461,2,,"111764,75","223529,5",,1,1
01.09.2020,12:37:00,113895,115226,108375,112231,4,,"112431,75",449727,,0,0
01.09.2020,12:38:00,111426,114767,107929,110635,49,,"111189,25","5448273,25",,0,0
01.09.2020,12:39:00,114449,115221,108122,109529,42,,"111830,25","4696870,5",,0,0
01.09.2020,12:40:00,109445,115185,108083,110737,56,,"110862,5",6208300,,1,1
01.09.2020,12:41:00,110328,115283,107901,112093,79,,"111401,25","8800698,75",,1,1
01.09.2020,12:42:00,111651,115290,107906,111293,4,,111535,446140,,0,0
01.09.2020,12:43:00,110097,115269,107949,108552,4,,"110466,75",441867,,0,0
01.09.2020,12:44:00,114247,115278,108024,110225,25,,"111943,5","2798587,5",,0,0
01.09.2020,12:45:00,114708,115230,107970,112620,31,,112632,3491592,,0,0
01.09.2020,12:46:00,113138,115169,107930,114183,9,,112605,1013445,,1,1
